Probe	Chromosome	Start	End	Strand	10-30um_A	10-30um_B	40-45um_A	40-45um_B	50-55um_A	50-55um_B	60-65um_A	60-65um_B	GV
Il1r1	1	40225080	40316198	+	3.5011108	3.7693253	3.9655023	3.6873434	4.9587746	4.8624606	6.4110923	5.8070254	7.3209996
Il1rl2	1	40324627	40365471	+	0.005160746	0.003225473	0.003413624	0	0.004361334	0	0.009755171	0	0
Il1rl1	1	40429570	40465415	+	0	0	0	0	0	0	0	0	0
Il18r1	1	40465552	40500854	+	0.101693854	0.09004163	0.056055304	0.08264078	0.09847433	0.06265329	0.07208559	0.048881013	0.08068659
Il18rap	1	40515362	40551705	+	0.06856027	0.04843942	0.029575981	0.05193608	0.07557407	0.057490814	0.07184181	0.095793925	0.11352527
Slc9a4	1	40580227	40630731	+	1.1348375	0.8754856	0.6583418	0.6532124	0.62527287	0.6026136	0.6943094	0.626299	0.9381241
Slc9a2	1	40681712	40768885	+	0.008643105	0.014405205	0.03430238	0.014984014	0.07060791	0.055565126	0.07624283	0.07755004	0.12271615
Mfsd9	1	40772038	40790687	-	1.8516756	1.7709264	1.9209878	2.067014	2.9089885	2.6307735	3.5539756	3.3676236	4.013666
Tmem182	1	40805601	40855944	+	0.29514927	0.23768081	0.27407184	0.3630974	0.47487622	0.37584442	0.6169197	0.48640764	1.402231
AC101702.1	1	40863734	40864219	-	0	0	0	0	0	0	0	0	0
Gm9915	1	42229726	42231108	+	0	0	0	0	0	0	0	0	0
2610017I09Rik	1	42648162	42667672	-	0.01087941	0.006799646	0	0	0.009194164	0	0	0	0
2610017I09Rik	1	42692940	42694825	-	0	0	0	0	0	0	0	0	0
Gm20646	1	42694925	42740968	+	0.51842034	0.4002519	0.655571	0.5392519	0.77314556	0.89202505	0.7349635	0.9129922	0.74115527
Pou3f3	1	42697146	42700207	+	0.059158124	0.096542984	0.15217495	0.10768671	0.1638705	0.16057873	0.21433023	0.2292889	0.20586675
Mrps9	1	42851233	42905682	+	4.385906	3.4775062	3.4456422	2.8347304	3.3526604	2.5139406	3.2799873	2.9317446	3.2967415
Gpr45	1	42952872	43035449	+	0	0.006517795	0.013795994	0.004067811	0	0.005028212	0.002464065	0.005728715	0.001306454
AC112941.2	1	42953139	43030781	+	0	0	0	0	0	0.003739672	0	0.006390994	0
Tgfbrap1	1	43047269	43098622	-	1.7771865	2.9165545	2.3053982	3.1206918	3.138932	3.6401904	4.298802	3.719413	5.0146832
8430432A02Rik	1	43092588	43093835	+	0	0.005039802	0	0.004193843	0.006814585	0.015552	0.007621228	0.00885931	0
AI597479	1	43098710	43115947	+	6.5304785	5.8040333	6.4813943	5.4987907	7.063394	6.0599017	6.52698	6.741603	6.909577
Fhl2	1	43123074	43163961	-	0.25754204	0.16901232	0.07240029	0.09376178	0.05985324	0.06208861	0.042596962	0.074275374	0.038717173
Nck2	1	43445751	43570515	+	2.9832757	3.201088	2.6956477	2.8572464	2.3548398	2.677036	2.1549554	2.2993557	1.4696968
1500015O10Rik	1	43730602	43742578	+	0	0	0.007379786	0	0	0	0	0	0
Uxs1	1	43746966	43827800	-	3.814517	3.8932545	4.226143	4.109502	4.967274	4.669762	5.614965	5.0911155	5.948202
