UCSC_Refseq_id	Refseq_mRNA	Gene_symbol	transcript_length	ES (raw tags)	EB (raw tags)
12271	NM_010502	Ifna1	570	0	1
19556	NM_183280	Rp23-438h3.2	575	0	0
19557	NM_183280	Rp23-438h3.2	575	0	0
15718	NM_001024673	EG330496	582	0	1
15719	NM_177396	Il28	582	0	1
6948	NM_010672	Krtap6-1	594	0	0
19201	NM_198898	Ssxb3	604	0	1
6466	NM_008933	Prm2	612	0	5
8814	NM_001033407	Gm815	618	0	3
6409	NM_008134	Glycam1	625	0	11
8662	NM_027074	1700025F22Rik	631	0	3
20494	NM_001099304	LOC546511	638	0	0
21976	NM_008333	Ifna11	647	0	3
4552	NM_001033770	Gm904	649	0	0
9273	NM_033145	Lcn8	652	0	0
1512	NM_010670	Krtap12-1	671	0	0
13483	NM_021289	Smr2	676	0	1
11321	NM_027137	Lce1d	678	0	2
16978	NM_015808	Krtap5-1	693	0	0
21360	NM_177544	Ang4	695	0	1
5181	NM_007894	Ear1	712	0	0
5183	NM_007895	Ear2	716	0	0
11991	NM_011888	Ccl19	720	0	0
11999	NM_011888	Ccl19	720	0	0
3436	NM_199201	Clm3	738	0	0
21201	NM_001003664	EG386551	745	0	0
21510	NM_001048217	Spink11	746	0	1
3738	NM_207531	Agr3	747	0	2
10429	NM_025490	1700010M22Rik	750	0	2
19314	NM_001039695	Rhox4d	759	0	0
20590	NM_001099316	LOC100039913	761	0	0
4406	NM_172156	Prl3d3	774	0	0
20594	NM_001099306	EG628518	776	0	0
20306	NM_001039688	Rhox4a	779	0	0
19315	NM_001085348	LOC100036766	779	0	0
19317	NM_001085356	EG434764	779	0	1
20591	NM_001099318	LOC100039948	779	0	0
19308	NM_029203	Rhox2	783	0	0
6952	NM_010673	Krtap6-2	789	0	0
4234	NM_031191	Prl2c2	790	0	1
7107	NM_011560	Tcte3	791	0	0
18768	NM_007536	Bcl2a1d	796	0	1
18769	NM_009742	Bcl2a1a	796	0	0
999	NM_025470	1810030J14Rik	798	0	2
19536	NM_027768	5430402E10Rik	798	0	0
20023	NM_001085544	OTTMUSG00000017866	800	0	0
10686	NM_001033240	Wfdc6a	802	0	0
19318	NM_001085351	OTTMUSG00000017155	806	0	1
21203	NM_053243	Prss1	807	0	35
8678	NM_001033283	Gm97	807	0	3
2902	NM_029367	Spaca3	814	0	2
3196	NM_027087	2300006N05Rik	815	0	0
19345	NM_011364	Sh2d1a	819	0	1
20448	NM_001037919	EG623898	821	0	0
15142	NM_008459	Klra10	823	0	0
19276	NM_001025607	EG382275	824	0	0
20252	NM_013772	Tcl1b3	830	0	1
21190	NM_011335	Ccl21a	831	0	0
19935	NM_001037748	LOC380994	831	0	0
19941	NM_001037748	LOC380994	831	0	0
19947	NM_001037748	LOC380994	831	0	0
19950	NM_001037748	LOC380994	831	0	0
19951	NM_001037748	LOC380994	831	0	0
19933	NM_001037748	LOC380994	832	0	0
19936	NM_001037748	LOC380994	832	0	0
19938	NM_001037748	LOC380994	832	0	0
19944	NM_001037748	LOC380994	832	0	0
20193	NM_001098269	ENSMUSG00000072602	833	0	0
4232	NM_011954	Prl2c4	836	0	0
14807	NM_053223	V1ra8	840	0	0
20020	NM_001085524	EG434726	842	0	0
71	NM_001033904	BC099381	844	0	0
15922	NM_010643	Klk1b24	847	0	3
20158	NM_001085525	EG434727	848	0	0
20203	NM_031261	Fthl17	848	0	0
20986	NM_001101656	LOC100043123	852	0	0
20580	NM_001099326	LOC100042782	856	0	0
20920	NM_008181	Gsta1	861	0	1
11984	NM_023052	Ccl21c	867	0	0
11987	NM_023052	Ccl21c	867	0	0
11996	NM_023052	Ccl21c	867	0	0
12411	NM_015758	Foxe3	867	0	3
20797	NM_001099347	LOC100042175	867	0	0
20789	NM_001099347	LOC100042175	867	0	0
20790	NM_001099347	LOC100042175	867	0	0
20791	NM_001099347	LOC100042175	867	0	0
20792	NM_001099347	LOC100042175	867	0	0
20793	NM_001099347	LOC100042175	867	0	0
20794	NM_001099347	LOC100042175	867	0	0
20795	NM_001099347	LOC100042175	867	0	0
20796	NM_001099347	LOC100042175	867	0	0
20798	NM_001099347	LOC100042175	867	0	0
20799	NM_001099347	LOC100042175	867	0	0
20800	NM_001099347	LOC100042175	867	0	0
19131	NM_023052	Ccl21c	867	0	0
19134	NM_023052	Ccl21c	867	0	0
11990	NM_011124	Ccl21b	868	0	0
12000	NM_011124	Ccl21b	868	0	0
19310	NM_194063	Rhox3	868	0	0
21053	NM_001102457	EG665203	868	0	0
12518	NM_001038590	Cldn19	869	0	8
21089	NM_001102660	LOC100040208	870	0	1
19274	NM_001081657	EG546282	875	0	0
19198	NM_199064	Ssxb10	877	0	1
5180	NM_027940	1700001F09Rik	883	0	0
12158	NM_008647	Mup2	886	0	0
12152	NM_008647	Mup2	886	0	0
12161	NM_001012323	OTTMUSG00000007485	886	0	0
19311	NM_021300	Rhox4b	886	0	1
12155	NM_008647	Mup2	889	0	1
19275	NM_001040669	Xmr	890	0	0
20498	NM_001099313	LOC670482	890	0	0
14584	NM_134173	V1rc18	891	0	2
5009	NM_001024706	EG432825	892	0	0
19841	NM_001037167	EG434881	893	0	0
12781	NM_026419	Ela3	897	0	6
4320	NM_134244	V1rh21	897	0	0
5187	NM_198677	BC061237	899	0	0
14567	NM_134185	V1rc30	900	0	0
4316	NM_145845	V1ri1	903	0	1
14589	NM_134177	V1rc22	909	0	2
14610	NM_134165	V1rc10	909	0	0
9883	NM_146529	Olfr1183	912	0	2
14574	NM_134171	V1rc16	912	0	0
14588	NM_053232	V1rc2	912	0	0
19932	NM_201530	Sly	917	0	0
19940	NM_201530	Sly	917	0	0
19943	NM_201530	Sly	917	0	0
10097	NM_146908	Olfr1280	918	0	2
10098	NM_001005568	Olfr1281	918	0	0
10101	NM_207254	Olfr1286	918	0	0
14609	NM_134166	V1rc11	918	0	0
15585	NM_203489	V1rd15	918	0	3
19691	NM_028426	3110007F17Rik	920	0	0
9948	NM_146794	Olfr1263	921	0	1
11838	NM_134232	LOC171266	921	0	0
13048	NM_134232	LOC171266	921	0	0
15413	NM_134210	V1rg9	921	0	4
2460	NM_001011818	Olfr316	921	0	1
4332	NM_134235	V1rh10	921	0	0
7944	NM_134232	LOC171266	921	0	0
16527	NM_001005570	Olfr707	924	0	0
16909	NM_146519	Olfr530	924	0	0
5245	NM_001011837	Olfr748	924	0	0
8727	NM_146692	Olfr1454	924	0	2
8733	NM_001011841	Olfr1465	924	0	3
6864	NM_207549	Olfr192	925	0	4
9892	NM_207567	Olfr1198	927	0	1
9958	NM_146980	Olfr1272	927	0	0
2464	NM_001011819	Olfr312	927	0	0
1000	NM_207137	Olfr417	930	0	2
9739	NM_001011785	Olfr987	930	0	4
9896	NM_146462	Olfr1202	930	0	1
9955	NM_146265	Olfr1506	930	0	0
9960	NM_146265	Olfr1506	930	0	0
9961	NM_146263	GA_x5J8B7W2BV0-3116-4045	930	0	1
16580	NM_146723	Olfr513	930	0	1
18081	NM_146526	Olfr859	930	0	1
18244	NM_030553	Olfr160	930	0	5
18256	NM_146423	Olfr887	930	0	2
1536	NM_147042	Olfr1353	930	0	1
1976	NM_146862	Olfr763	930	0	0
1977	NM_001085477	EG544748	930	0	2
2314	NM_001011805	Olfr1385	930	0	1
5224	NM_146492	Olfr724	930	0	1
5237	NM_146668	Olfr739	930	0	0
8721	NM_146703	Olfr1447	930	0	0
9818	NM_146591	Olfr1101	933	0	4
9860	NM_146647	Olfr1154	933	0	0
9893	NM_146458	Olfr1199	933	0	2
16576	NM_146773	Olfr508	933	0	0
16915	NM_001011867	Olfr538	933	0	2
19373	NM_001011794	Olfr1322	933	0	1
19799	NM_053230	V1rb9	933	0	0
1535	NM_207201	Olfr8	933	0	3
9763	NM_146587	Olfr1023	936	0	0
9841	NM_146349	Olfr1128	936	0	4
9910	NM_146899	Olfr1219	936	0	0
14568	NM_053231	V1rc1	936	0	0
16429	NM_013618	Olfr66	936	0	2
16917	NM_146964	Olfr61	936	0	3
18326	NM_146611	Olfr970	936	0	5
1984	NM_146266	Olfr772	936	0	0
2002	NM_146556	Olfr798	936	0	2
2306	NM_146470	Olfr1392	936	0	1
2307	NM_206822	Olfr10	936	0	0
8692	NM_001011853	Olfr1425	936	0	1
16976	NM_027844	Krtap5-2	937	0	1
504	NM_147039	Olfr1414	939	0	0
9826	NM_146769	Olfr1110	939	0	1
15380	NM_146913	Olfr1348	939	0	0
16400	NM_147070	Olfr604	939	0	5
18063	NM_001011824	Olfr832	939	0	1
18077	NM_146524	Olfr855	939	0	2
1975	NM_146861	Olfr9	939	0	0
2758	NM_147023	Olfr385	939	0	0
2760	NM_147009	Olfr389	939	0	2
4341	NM_134238	V1rh13	939	0	0
7594	NM_146289	Olfr113	939	0	2
8697	NM_146414	Olfr1431	939	0	3
8699	NM_146686	Olfr232	939	0	0
9777	NM_207561	Olfr1040	942	0	0
9796	NM_146408	Olfr1065	942	0	1
9805	NM_146590	Olfr1085	942	0	1
9809	NM_146847	Olfr1090	942	0	2
18262	NM_146868	Olfr894	942	0	5
19854	NM_025357	Smpx	942	0	3
1531	NM_001011737	Olfr1357	942	0	3
2010	NM_146553	Olfr806	942	0	0
4287	NM_001011820	Olfr1359	942	0	0
4289	NM_001011820	Olfr1359	942	0	0
5309	NM_010991	Olfr49	942	0	3
6582	NM_146957	Olfr170	942	0	0
988	NM_146717	Olfr433	945	0	0
9891	NM_001005225	Olfr1197	945	0	1
10124	NM_146742	Olfr1316	945	0	0
16371	NM_147092	Olfr561	945	0	1
16398	NM_147046	Olfr600	945	0	2
16566	NM_146310	Olfr493	945	0	1
16582	NM_146725	Olfr516	945	0	1
17475	NM_207555	Olfr372	945	0	1
18306	NM_207665	Olfr144	945	0	3
18310	NM_146503	Olfr952	945	0	0
18311	NM_146331	Olfr954	945	0	0
18312	NM_207141	Olfr955	945	0	1
18324	NM_146612	Olfr968	945	0	1
1992	NM_001011797	Olfr782	945	0	0
2022	NM_146269	Olfr247	945	0	0
2023	NM_146269	Olfr247	945	0	0
2447	NM_001011861	Olfr331	945	0	0
20821	NM_146298	Olfr746	945	0	1
8737	NM_207132	Olfr1471	945	0	0
8739	NM_001011842	Olfr1474	945	0	0
994	NM_146721	Olfr424	948	0	1
9744	NM_146434	Olfr995	948	0	5
14564	NM_134174	V1rc19	948	0	2
16423	NM_013620	Olfr68	948	0	0
16484	NM_207557	Olfr681	948	0	1
16535	NM_020598	Olfr17	948	0	2
2028	NM_146674	Olfr824	948	0	0
2777	NM_146707	Olfr410	948	0	0
6576	NM_146451	Olfr164	948	0	2
8744	NM_146636	Olfr1487	948	0	0
9873	NM_146294	Olfr1167	951	0	0
9875	NM_146532	Olfr1170	951	0	2
10125	NM_146448	Olfr1317	951	0	1
16373	NM_001011536	Olfr566	951	0	2
16471	NM_146814	Olfr665	951	0	0
20837	NM_147032	Olfr705	951	0	3
16526	NM_146353	Olfr706	951	0	1
8757	NM_001011850	Olfr1505	951	0	1
9804	NM_207135	Olfr1084	954	0	0
16216	NM_146415	Olfr291	954	0	0
16416	NM_147122	Olfr623	954	0	0
16475	NM_147043	Olfr669	954	0	1
6857	NM_001011662	Olfr180	954	0	1
9836	NM_147028	Olfr1125	957	0	3
9888	NM_001011517	Olfr1193	957	0	3
9936	NM_001011529	Olfr1251	957	0	2
16472	NM_147096	Olfr666	957	0	1
12033	NM_019476	Olfr159	960	0	1
16463	NM_146312	Olfr657	960	0	6
7090	NM_001013832	Gpr31c	960	0	0
15364	NM_207544	V1rd11	963	0	0
19840	NM_029199	4930542N07Rik	963	0	1
2029	NM_146677	Olfr825	963	0	1
15563	NM_207547	V1rd21	966	0	0
15567	NM_207547	V1rd21	966	0	0
16489	NM_001011533	Olfr688	966	0	0
16577	NM_146372	Olfr509	966	0	2
9810	NM_146366	Olfr1093	969	0	1
2775	NM_001011863	Olfr406	972	0	1
9767	NM_001011852	Olfr1029	975	0	0
5246	NM_020288	Olfr749	976	0	1
19316	NM_201236	Rhox4e	977	0	0
3195	NM_029613	Krtap4-7	978	0	4
15447	NM_009286	C730007P19Rik	980	0	1
22328	NM_146543	Olfr1360	980	0	0
4955	NM_029288	1700001E04Rik	981	0	0
4956	NM_029288	1700001E04Rik	981	0	0
4962	NM_029288	1700001E04Rik	981	0	0
14940	NM_001011801	Olfr213	984	0	1
9802	NM_207674	Olfr1082	990	0	0
14795	NM_053240	V1rb10	991	0	0
19800	NM_053240	V1rb10	991	0	0
20069	NM_207632	Olfr1118	996	0	0
10110	NM_146884	Olfr1299	996	0	5
4966	NM_001025085	EG545013	997	0	0
4315	NM_145846	V1ri8	1005	0	1
4090	NM_013775	Tcl1b2	1009	0	0
3193	NM_001048196	A030010K20Rik	1011	0	1
19686	NM_153109	Tgifx1	1022	0	0
21183	NM_207273	Tdpoz5	1023	0	0
21184	NM_207273	Tdpoz5	1023	0	0
16460	NM_146379	Olfr654	1026	0	2
1232	NM_001010837	Taar8b	1035	0	1
20032	NM_001085548	LOC665998	1059	0	5
5058	NM_025311	D14Ertd449e	1066	0	0
5062	NM_025311	D14Ertd449e	1066	0	0
5065	NM_025311	D14Ertd449e	1066	0	0
4334	NM_134241	V1rh18	1074	0	1
1226	NM_001010829	Taar7a	1077	0	2
19959	NM_001085527	LOC435286	1077	0	0
11342	NM_001007222	Tdpoz2	1093	0	1
1845	NM_016971	Il22	1109	0	2
22338	NM_146317	Olfr725	1110	0	0
19948	NM_001025241	LOC434960	1123	0	0
19952	NM_001025241	LOC434960	1123	0	0
20955	NM_001100445	LOC100039065	1129	0	1
21601	NM_001104946	LOC100039030	1131	0	0
21100	NM_001102677	LOC100038977	1131	0	0
21102	NM_001102677	LOC100038977	1131	0	0
15138	NM_053151	Klra21	1139	0	2
19939	NM_001017393	MGC107098	1206	0	0
19946	NM_001017393	MGC107098	1206	0	0
19942	NM_207162	LOC382133	1213	0	0
15453	NM_027802	Obox1	1217	0	1
19469	NM_183094	Xlr4c	1223	0	2
14600	NM_019455	Ptgds2	1227	0	6
22156	NM_020015	Magea1	1272	0	2
21112	NM_009220	Ssty1	1285	0	0
21114	NM_009220	Ssty1	1285	0	0
19991	NM_001085538	LOC623272	1324	0	0
19993	NM_001085538	LOC623272	1324	0	0
19995	NM_001085538	LOC623272	1324	0	0
12220	NM_001081644	Gm428	1325	0	0
21113	NM_001103152	LOC100040223	1339	0	0
22404	NM_053097	Cml3	1395	0	0
4954	NM_177135	D830030K20Rik	1418	0	2
4070	NM_009245	Serpina1c	1424	0	2
4068	NM_009246	Serpina1d	1442	0	0
12265	NM_197889	Ifnz	1462	0	0
9111	NM_001008551	BC085271	1475	0	0
19129	NM_001008551	BC085271	1475	0	0
20786	NM_001099643	LOC100042254	1491	0	0
20787	NM_001099643	LOC100042254	1491	0	0
20785	NM_001099643	LOC100042254	1497	0	0
7943	NM_018751	Sult1c1	1513	0	0
20879	NM_001100183	Cyp4a29	1530	0	2
4069	NM_009243	Serpina1a	1560	0	5
19953	NM_001017394	LOC435023	1562	0	0
11605	NM_009669	Amy2	1576	0	0
11608	NM_009669	Amy2	1576	0	0
11611	NM_009669	Amy2	1576	0	0
11614	NM_009669	Amy2	1576	0	0
15564	NM_001037248	EG381936	1581	0	0
15565	NM_001037248	EG381936	1581	0	0
15569	NM_001037248	EG381936	1581	0	0
15575	NM_030737	V1rd7	1581	0	5
21230	NM_001104531	Cyp2d11	1590	0	0
13544	NM_198667	BC061212	1594	0	0
13550	NM_198667	BC061212	1594	0	0
11465	NM_008294	Hsd3b4	1605	0	0
11466	NM_008294	Hsd3b4	1605	0	0
422	NM_001081746	EG665378	1611	0	0
20601	NM_001099349	LOC100043381	1628	0	0
20602	NM_001099349	LOC100043381	1628	0	0
20603	NM_001099349	LOC100043381	1628	0	0
20604	NM_001099349	LOC100043381	1628	0	0
20605	NM_001099349	LOC100043381	1628	0	0
20606	NM_001099349	LOC100043381	1628	0	0
20607	NM_001099349	LOC100043381	1628	0	0
20608	NM_001099349	LOC100043381	1628	0	0
19461	NM_001045539	Xlr5a	1650	0	1
5059	NM_175342	Cphx	1653	0	0
5063	NM_175342	Cphx	1653	0	0
5066	NM_175342	Cphx	1653	0	0
19845	NM_020016	Magea2	1685	0	0
19930	NM_011253	Rbmy1a1	1707	0	0
8905	NM_010004	Cyp2c40	1715	0	1
15566	NM_001034904	EG545929	1724	0	0
15570	NM_001034904	EG545929	1724	0	0
4961	NM_001029930	ENSMUSG00000068790	1813	0	0
4960	NM_001029930	ENSMUSG00000068790	1813	0	6
7092	NM_009340	Tcp10a	1832	0	1
22405	NM_001037842	Cml3	1839	0	0
13545	NM_177913	A430089I19Rik	1847	0	0
19138	NM_177913	A430089I19Rik	1848	0	0
10238	NM_001081975	Mfap1b	1887	0	4
20587	NM_001099333	LOC100040606	1908	0	1
19146	NM_027955	1700017G21Rik	1929	0	0
19147	NM_027955	1700017G21Rik	1929	0	0
19284	NM_027955	1700017G21Rik	1929	0	0
19285	NM_027955	1700017G21Rik	1929	0	0
19286	NM_027955	1700017G21Rik	1929	0	0
4958	NM_001024712	LOC544988	1943	0	0
20147	NM_001085552	OTTMUSG00000016411	1951	0	0
20164	NM_001085552	OTTMUSG00000016411	1951	0	0
11989	NM_010550	Il11ra2	1954	0	0
11998	NM_010550	Il11ra2	1954	0	0
20144	NM_001085545	OTTMUSG00000016405	1960	0	0
20148	NM_001085545	OTTMUSG00000016405	1960	0	0
20150	NM_001085545	OTTMUSG00000016405	1960	0	0
20153	NM_001085551	OTTMUSG00000016406	1960	0	1
20155	NM_001085543	OTTMUSG00000016407	1960	0	0
20019	NM_001085553	OTTMUSG00000016420	1960	0	0
20021	NM_001085553	OTTMUSG00000016420	1960	0	0
20022	NM_001085553	OTTMUSG00000016420	1960	0	0
19806	NM_001082966	LOC100034729	1974	0	0
17021	NM_030741	V1rd2	1994	0	0
5067	NM_183389	1110051B16Rik	2000	0	0
4000	NM_178657	Oog1	2021	0	1
20805	NM_001099920	LOC100039890	2022	0	0
20810	NM_001099920	LOC100039890	2022	0	0
20811	NM_001099920	LOC100039890	2022	0	0
19804	NM_011022	Ott	2028	0	0
19807	NM_011022	Ott	2028	0	0
19809	NM_011022	Ott	2028	0	0
13547	NM_001031622	AU018829	2031	0	0
13548	NM_001031622	AU018829	2031	0	0
14206	NM_001031622	AU018829	2031	0	0
14207	NM_001031622	AU018829	2031	0	0
14208	NM_001031622	AU018829	2031	0	0
19135	NM_001031622	AU018829	2031	0	0
19136	NM_001031622	AU018829	2031	0	0
19137	NM_001031622	AU018829	2031	0	0
19140	NM_001031622	AU018829	2031	0	0
21363	NM_201640	Cyp4a31	2049	0	3
4957	NM_175393	4930555G01Rik	2050	0	6
12864	NM_001039595	OTTMUSG00000010207	2055	0	0
14159	NM_017396	Cyp3a41a	2058	0	1
14158	NM_017396	Cyp3a41a	2062	0	0
17023	NM_030742	V1rd1	2167	0	0
15363	NM_030742	V1rd1	2169	0	0
20740	NM_177187	D5Ertd577e	2296	0	0
14035	NM_001039889	Smok3b	2331	0	0
12870	NM_001001319	Pramel4	2399	0	0
2293	NM_173434	9930111J21Rik	2403	0	0
2295	NM_173434	9930111J21Rik	2403	0	1
12871	NM_001085419	OTTMUSG00000010432	2405	0	0
21340	NM_001105076	Vmn2r46	2430	0	0
21331	NM_001105076	Vmn2r46	2430	0	0
15568	NM_030736	V1rd14	2438	0	0
21353	NM_001105151	Vmn2r47	2558	0	0
21351	NM_001105151	Vmn2r47	2559	0	0
21324	NM_009490	V2r15	2559	0	0
21326	NM_001105063	V2r5	2559	0	2
21328	NM_001105066	Vmn2r34	2559	0	0
21330	NM_001105068	Vmn2r36	2559	0	0
21332	NM_001105068	Vmn2r36	2559	0	0
21336	NM_001105072	Vmn2r40	2559	0	0
21337	NM_001105075	Vmn2r45	2559	0	0
21354	NM_001105151	Vmn2r47	2559	0	0
21356	NM_001105156	Vmn2r49	2559	0	0
21352	NM_001105151	Vmn2r47	2560	0	0
21307	NM_001104635	EG546912	2562	0	0
21355	NM_001105152	EG625580	2568	0	0
21325	NM_001105062	Vmn2r31	2586	0	0
21333	NM_001105067	EG625353	2586	0	0
21327	NM_001105065	Vmn2r33	2586	0	0
21329	NM_001105067	EG625353	2586	0	0
21335	NM_001105071	EG545909	2586	0	1
21338	NM_001105074	EG434113	2586	0	0
15358	NM_030739	V1rd4	2680	0	3
15396	NM_198961	Gm1961	2841	0	1
536	NM_199366	Gal3st2	2846	0	2
19465	NM_001025384	DXBay18	2862	0	1
19462	NM_001025384	DXBay18	2862	0	1
4949	NM_028245	Zfp131	2965	0	0
4951	NM_028245	Zfp131	2965	0	0
21943	NM_177744	Apol10a	3033	0	7
7942	NM_145968	Tagap	3056	0	0
15395	NM_009489	V2r14	3078	0	0
20349	NM_145942	Hmgcs1	3283	0	0
20350	NM_145942	Hmgcs1	3283	0	0
21122	NM_001033123	Etohi1	3383	0	0
19721	NM_183320	EG331529	3519	0	0
19722	NM_183320	EG331529	3519	0	0
11301	NM_011468	Sprr2a	3547	0	0
11302	NM_011468	Sprr2a	3547	0	1
15397	NM_009493	V2r4	3619	0	0
14915	NM_008285	Hrh1	3782	0	1
3784	NM_028527	1700047I17Rik1	3841	0	0
3786	NM_028527	1700047I17Rik1	3841	0	0
21193	NM_009051	Rex2	3977	0	0
21194	NM_009051	Rex2	3977	0	0
19922	NM_011667	Ube1y1	3981	0	0
19945	NM_011667	Ube1y1	3981	0	0
1663	NM_199062	BC062127	4067	0	0
4952	NM_175538	E130304F04Rik	4103	0	0
4950	NM_175538	E130304F04Rik	4103	0	0
19989	NM_001085530	LOC545611	4130	0	1
19990	NM_001085530	LOC545611	4130	0	0
20018	NM_001085530	LOC545611	4130	0	0
20676	NM_011899	Srp54a	4264	0	0
11995	NM_178649	4933409K07Rik	4551	0	0
11986	NM_178649	4933409K07Rik	4551	0	0
19132	NM_178649	4933409K07Rik	4552	0	0
16510	NM_029000	Gvin1	9039	0	0
16512	NM_029000	Gvin1	9039	0	0
17133	NM_183026	Defb14	204	1	1
17163	NM_139223	Defb13	224	1	3
54	NM_001039123	EG654460	258	1	2
17160	NM_139221	Defb11	303	1	1
6943	NM_130873	Krtap16-4	304	1	0
17138	NM_013756	Defb3	322	1	1
10004	NM_183112	1700029I15Rik	362	1	1
16839	NM_183272	1700063I17Rik	371	1	0
20564	NM_001099295	1700042G07Rik	385	1	2
10503	NM_001037752	OTTMUSG00000015859	388	1	2
15818	NM_032541	Hamp1	394	1	4
20600	NM_001099346	LOC100041488	396	1	0
6467	NM_013637	Prm1	400	1	0
10500	NM_001001444	Defb29	405	1	0
6737	NM_025288	Stfa3	412	1	2
6732	NM_001082543	Stfa1	418	1	1
6550	NM_016983	Vpreb2	429	1	6
9566	NM_029723	Dapl1	432	1	15
6734	NM_001082546	BC100530	441	1	0
7355	NM_011575	Tff3	449	1	3
1421	NM_016864	Atoh7	450	1	3
5182	NM_053112	Ear10	471	1	0
19391	NM_175147	Etd	478	1	4
3287	NM_008918	Ppy	480	1	6
11296	NM_009114	S100a9	488	1	1
20509	NM_020597	Msmb	489	1	0
18490	NM_025540	Sln	520	1	2
19209	NM_029588	1700012L04Rik	525	1	0
5898	NM_020519	Slurp1	525	1	2
13694	NM_001012726	Aym1	528	1	3
2946	NM_007969	Expi	544	1	1
4601	NM_029303	Pfn3	545	1	1
14418	NM_001003952	Sval3	550	1	6
19212	NM_026096	1700054O13Rik	554	1	0
2220	NM_008218	Hba-a1	559	1	150
3199	NM_015741	Krtap9-1	561	1	0
12268	NM_206871	Ifna6	570	1	5
12256	NM_206975	Ifna14	570	1	6
12255	NM_206870	OTTMUSG00000007655	573	1	2
14419	NM_009299	Sva	598	1	5
6640	NM_009215	Sst	599	1	3
4013	NM_027076	1700019M22Rik	604	1	1
10452	NM_030059	Cst11	606	1	5
7177	NM_019910	Dcpp1	617	1	0
20592	NM_001099305	EG628456	627	1	2
18173	NM_173412	Cypt4	644	1	2
11318	NM_026822	Lce1b	647	1	5
5732	NM_001013791	EG432939	653	1	8
12272	NM_177348	Ifne1	664	1	4
15123	NM_021378	Klrc3	666	1	0
15237	NM_010491	Iapp	690	1	1
6809	NM_023881	Retnlb	696	1	5
16010	NM_027055	Spaca4	700	1	6
4423	NM_001045532	OTTMUSG00000000651	706	1	2
11312	NM_011478	Sprr3	717	1	4
20439	NM_010653	Klrc2	717	1	3
7060	NM_001033442	Gm1604	719	1	0
7053	NM_001033442	Gm1604	719	1	0
19320	NM_001040089	LOC621852	726	1	1
11326	NM_029667	Lce1i	731	1	0
20536	NM_001099301	LOC383678	732	1	3
18724	NM_205822	Omt2b	735	1	0
14667	NM_011036	Pap	759	1	3
17081	NM_024279	1700094C09Rik	761	1	3
13652	NM_026109	1810008K16Rik	763	1	4
