Identifiers	mean	sd	median	minimum	maximum	n	Mean/StdDev	CV	MFC
RPSA	12.59	0.52	12.7	4.36	14.03	13629	24.04	4.16	3.22
RPS15	12.97	0.54	13.04	1.2	14.03	13629	23.89	4.19	11.67
RPL23A	13.69	0.58	13.82	1.2	14.03	13629	23.68	4.22	11.67
FAU	12.24	0.52	12.28	8.75	14.03	13629	23.32	4.29	1.6
ACTG1	12.99	0.56	13.07	7.83	14.03	13629	23.21	4.31	1.79
RPLP0	12.91	0.56	13.02	7.76	13.9	13629	23.15	4.32	1.79
VAPA	11.1	0.48	11.08	8.91	13.18	13629	22.97	4.35	1.48
RPS24	12.84	0.58	12.95	6.19	14.03	13629	22.27	4.49	2.27
RPS18	13.28	0.6	13.37	0.93	14.03	13629	22.23	4.5	15.15
TXNL1	10.44	0.47	10.42	6.92	13.05	13629	22.04	4.54	1.89
EEF2	12.1	0.55	12.18	7.78	13.61	13629	21.95	4.55	1.75
H3F3A	12.51	0.57	12.57	9.53	14.03	13629	21.95	4.56	1.47
SLC25A3	11.85	0.54	11.86	8.91	13.73	13629	21.92	4.56	1.54
CALM2	12.51	0.58	12.57	9.19	14.03	13629	21.55	4.64	1.53
HNRPK	10.94	0.51	11	7.43	13.1	13629	21.52	4.65	1.76
PARK7	11.59	0.54	11.62	4.56	14.03	13629	21.42	4.67	3.08
RPL12	12.61	0.59	12.75	8.37	14.03	13629	21.41	4.67	1.68
HMGN2	11.81	0.56	11.85	8.48	13.9	13629	21.02	4.76	1.64
ATP5A1	11.85	0.57	11.85	7.2	13.82	13629	20.95	4.77	1.92
EIF3S6IP	11.66	0.56	11.68	8.34	14.03	13629	20.94	4.78	1.68
RPS15A	12.68	0.61	12.82	6.46	13.9	13629	20.89	4.79	2.15
CFL1	12.8	0.62	12.91	6.89	14.03	13629	20.74	4.82	2.04
RPS17	12.32	0.6	12.47	7.38	13.56	13629	20.6	4.85	1.84
PSMA1	10.62	0.52	10.63	6.54	12.87	13629	20.6	4.85	1.97
RPS3	12.68	0.62	12.84	7.94	14.03	13629	20.55	4.87	1.77
C1orf77	8.47	0.41	8.46	6.28	10.19	13629	20.55	4.87	1.62
UBE2D3	10.24	0.5	10.26	7.56	11.88	13629	20.52	4.87	1.57
PUM1	9.39	0.46	9.4	4.97	11.58	13629	20.51	4.88	2.33
ACTB	13	0.63	13.1	7.33	14.03	13629	20.49	4.88	1.91
PPP2CA	9.27	0.45	9.27	7.42	11.76	13629	20.45	4.89	1.58
WBSCR1	10.58	0.52	10.61	5.93	12.68	13629	20.44	4.89	2.14
SNX3	10.49	0.51	10.46	7.13	12.91	13629	20.43	4.89	1.81
LOC130773	13.25	0.65	13.31	1.2	14.03	13629	20.31	4.92	11.67
RPS10	12.38	0.61	12.56	8.87	13.61	13629	20.15	4.96	1.53
SKP1A	10.54	0.52	10.57	7.33	12.71	13629	20.09	4.98	1.73
STAU	9.98	0.5	9.97	7.49	12.89	13629	20.08	4.98	1.72
ZNF9	10.92	0.55	10.95	7.29	13.43	13629	19.88	5.03	1.84
PTGES3	11.26	0.57	11.28	6.9	13.34	13629	19.78	5.06	1.93
ATP5F1	11.26	0.57	11.28	4.6	13.34	13629	19.75	5.06	2.9
HSPC016	11.8	0.6	11.86	8.64	13.9	13629	19.71	5.07	1.61
RPS7	12.24	0.62	12.4	6.29	13.9	13629	19.69	5.08	2.21
ATP5E	11.51	0.59	11.54	8.34	13.9	13629	19.67	5.08	1.67
RHOA	11.62	0.59	11.71	7.56	14.03	13629	19.63	5.1	1.85
JTB	11.19	0.57	11.17	8.92	13.4	13629	19.57	5.11	1.5
RPS25	11.73	0.6	11.77	7.54	14.03	13629	19.53	5.12	1.86
RPS3A	12.61	0.65	12.84	8.69	13.73	13629	19.53	5.12	1.58
EIF4A2	11.92	0.61	11.98	8.83	14.03	13629	19.52	5.12	1.59
SET	10.65	0.55	10.65	8.18	12.63	13629	19.52	5.12	1.54
PITPNB	9.81	0.51	9.81	6.49	12.01	13629	19.43	5.15	1.85
UBE2Q1	9.32	0.48	9.3	4.7	11.67	13629	19.26	5.19	2.48
KHDRBS1	9.36	0.49	9.37	7.37	11.02	13629	19.21	5.2	1.5
HBXIP	9.88	0.52	9.9	6.94	12.36	13629	19.12	5.23	1.78
RPL13	12.12	0.63	12.27	8.2	13.4	13629	19.09	5.24	1.63
NACA	11.79	0.62	11.96	8.25	13.07	13629	19.07	5.24	1.58
PSMB4	10.51	0.55	10.49	8.46	12.88	13629	19.06	5.25	1.52
RPL3	12.87	0.68	13.01	8.09	14.03	13629	19.05	5.25	1.73
SF3B1	10.23	0.54	10.22	7.09	12.44	13629	19.05	5.25	1.75
CNOT1	9.13	0.48	9.13	7.3	11.51	13629	19.02	5.26	1.58
POLR2B	9.66	0.51	9.67	4.42	12.42	13629	18.95	5.28	2.81
COX7A2L	10.08	0.53	10.08	7.74	12.37	13629	18.9	5.29	1.6
RPS27A	12.4	0.66	12.5	6.8	14.03	13629	18.9	5.29	2.06
CSNK1A1	9.4	0.5	9.43	7.11	11.22	13629	18.8	5.32	1.58
DDX5	11.59	0.62	11.64	5.13	14.03	13629	18.79	5.32	2.73
WIPI-2	8.66	0.46	8.63	6.56	11.21	13629	18.78	5.33	1.71
ANAPC5	9.33	0.5	9.35	7.12	11.46	13629	18.76	5.33	1.61
TNFSF5IP1	10.17	0.54	10.22	5.9	12.19	13629	18.75	5.33	2.07
POLR2C	8.29	0.44	8.29	6.2	10.24	13629	18.73	5.34	1.65
RPL8	12.51	0.67	12.6	6.54	14.03	13629	18.72	5.34	2.15
PSMC1	10.34	0.56	10.33	7.75	12.92	13629	18.57	5.39	1.67
C14orf166	10.81	0.58	10.88	7.33	12.72	13629	18.54	5.39	1.74
RPL17	11.97	0.65	12.14	7.28	13.28	13629	18.5	5.4	1.83
RPS9	11.67	0.63	11.72	8.57	13.51	13629	18.41	5.43	1.58
ZC3H11A	9.56	0.52	9.58	6.74	12.03	13629	18.36	5.45	1.78
STRAP	10.51	0.57	10.51	6.71	12.83	13629	18.35	5.45	1.91
HMGB1	11.33	0.62	11.39	8.6	13.04	13629	18.3	5.46	1.52
C13orf12	10.86	0.59	10.93	7.66	12.94	13629	18.28	5.47	1.69
NHP2L1	9.68	0.53	9.69	7.37	12.01	13629	18.27	5.47	1.63
ZNF207	10.09	0.55	10.11	7.57	12.07	13629	18.21	5.49	1.59
RAC1	11.14	0.61	11.18	8.41	13.16	13629	18.18	5.5	1.56
PTP4A2	10.31	0.57	10.32	7.66	13.05	13629	18.18	5.5	1.71
ATP5L	10.91	0.6	10.99	7.48	12.87	13629	18.16	5.51	1.72
KARS	10.76	0.59	10.78	8.27	13.02	13629	18.15	5.51	1.57
DIABLO	9.22	0.51	9.22	4.18	11.98	13629	18.13	5.52	2.87
RPL15	11.33	0.63	11.4	8.67	13.37	13629	18.09	5.53	1.54
GHITM	10.42	0.58	10.37	6.56	12.57	13629	18.02	5.55	1.92
SMAP	10.04	0.56	10.09	6.93	12.32	13629	17.95	5.57	1.78
C2orf25	10.62	0.59	10.71	5.53	12.96	13629	17.93	5.58	2.35
CHCHD2	11.67	0.65	11.76	6.13	14.03	13629	17.92	5.58	2.29
VDAC2	10.9	0.61	10.9	6.71	13.26	13629	17.84	5.61	1.98
ST13	9.85	0.55	9.87	6.9	12.08	13629	17.82	5.61	1.75
C6orf49	10.79	0.61	10.83	8.12	13.1	13629	17.82	5.61	1.61
EIF3S6	11.56	0.65	11.63	7.22	13.82	13629	17.81	5.61	1.91
GDI2	10.6	0.6	10.64	7.55	12.87	13629	17.8	5.62	1.7
FAM32A	9.01	0.51	9.03	6.6	11.66	13629	17.8	5.62	1.77
HSPCA	11.85	0.67	11.93	7.56	14.03	13629	17.77	5.63	1.85
SRRM1	9.01	0.51	9	4.75	11.32	13629	17.75	5.63	2.38
EIF3S12	10.67	0.6	10.67	7.42	13.28	13629	17.68	5.66	1.79
COX7A2	11.17	0.63	11.22	4.92	13.66	13629	17.64	5.67	2.78
TEGT	10.9	0.62	10.91	8.46	13.18	13629	17.63	5.67	1.56
Sep-02	10.35	0.59	10.39	7.31	12.92	13629	17.61	5.68	1.77
ATXN10	9.5	0.54	9.51	6.33	11.41	13629	17.61	5.68	1.8
MAML1	8.59	0.49	8.57	5.96	10.37	13629	17.57	5.69	1.74
UBB	11.88	0.68	11.97	4.74	13.82	13629	17.55	5.7	2.91
CCNI	11.13	0.64	11.15	7.62	13.31	13629	17.53	5.7	1.75
EIF3S5	11.08	0.63	11.15	7.93	13.61	13629	17.51	5.71	1.72
EIF3S3	11.14	0.64	11.16	7.96	14.03	13629	17.49	5.72	1.76
COPB	10.3	0.59	10.34	6.84	12.58	13629	17.48	5.72	1.84
SON	9.31	0.53	9.33	7.09	12.31	13629	17.47	5.72	1.74
EIF1	11.69	0.67	11.72	9.33	13.82	13629	17.45	5.73	1.48
RPL38	11.35	0.65	11.42	7.91	13.66	13629	17.42	5.74	1.73
GAPDH	12.83	0.74	12.98	2.2	14.03	13629	17.4	5.75	6.37
ANXA7	9.45	0.54	9.49	6.26	11.85	13629	17.38	5.76	1.89
PHB2	11.2	0.64	11.26	7.34	13.22	13629	17.37	5.76	1.8
XRCC5	10.14	0.58	10.15	6.86	12.22	13629	17.37	5.76	1.78
NCL	11.06	0.64	11.11	7.37	13.4	13629	17.36	5.76	1.82
NARS	10.65	0.61	10.67	7.69	14.03	13629	17.35	5.76	1.82
TRAPPC3	8.33	0.48	8.35	5.09	10.33	13629	17.34	5.77	2.03
SFRS4	9.32	0.54	9.37	3.89	11.59	13629	17.29	5.79	2.98
MORF4L1	10.61	0.61	10.66	7.33	12.82	13629	17.27	5.79	1.75
EEF1B2	11.88	0.69	11.97	8.87	13.9	13629	17.25	5.8	1.57
HSPA8	11.95	0.69	12.05	8.09	13.61	13629	17.2	5.81	1.68
LARP1	9.23	0.54	9.21	6.76	11.89	13629	17.15	5.83	1.76
C14orf92	7.4	0.43	7.39	5.29	10.01	13629	17.15	5.83	1.89
HSPC117	9.3	0.54	9.31	5.48	11.21	13629	17.14	5.83	2.05
FTHP1	12.35	0.72	12.45	7.63	14.03	13629	17.11	5.84	1.84
MATR3	10.63	0.62	10.68	6.06	12.58	13629	17.1	5.85	2.08
RPS2	12.31	0.72	12.57	5.46	13.61	13629	17.1	5.85	2.49
PSMD1	9.38	0.55	9.4	6.4	11.37	13629	17.1	5.85	1.78
RPS6	12.19	0.72	12.44	8.69	13.66	13629	17.03	5.87	1.57
PSMC2	9.58	0.56	9.61	5.94	11.72	13629	17.02	5.87	1.97
YWHAQ	11.12	0.65	11.19	7.6	13.2	13629	17.02	5.88	1.74
KIAA0174	9.82	0.58	9.82	5.41	12.64	13629	17.02	5.88	2.34
ATF4	11.05	0.65	11.05	8.28	13.9	13629	17.01	5.88	1.68
PPP1CC	10.52	0.62	10.54	6.74	12.94	13629	17.01	5.88	1.92
ATP5C1	10.68	0.63	10.69	7.67	13.22	13629	16.98	5.89	1.72
CUGBP1	8.75	0.52	8.73	6.04	10.97	13629	16.95	5.9	1.82
GORASP2	9.36	0.55	9.34	6.92	11.58	13629	16.94	5.9	1.68
RPL10A	11.81	0.7	11.96	4.25	13.82	13629	16.9	5.92	3.25
H2AFV	9.41	0.56	9.43	5.87	11.35	13629	16.89	5.92	1.93
LDHA	12.09	0.72	12.19	6.33	14.03	13629	16.88	5.92	2.21
UBE2A	9.14	0.54	9.16	5.99	11.63	13629	16.86	5.93	1.94
KCMF1	9.99	0.59	9.96	7.34	13.43	13629	16.84	5.94	1.83
SNW1	8.72	0.52	8.72	6.54	10.99	13629	16.83	5.94	1.68
DNCL2A	10.26	0.61	10.31	7.12	13.12	13629	16.83	5.94	1.84
YME1L1	9.7	0.58	9.79	5.22	11.94	13629	16.78	5.96	2.29
SPG21	9.07	0.54	9.08	6.1	11.77	13629	16.77	5.96	1.93
TOMM7	11.41	0.68	11.49	7.47	14.03	13629	16.77	5.96	1.88
B2M	12.75	0.76	12.92	3.5	14.03	13629	16.75	5.97	4.01
K-ALPHA-1	12.6	0.75	12.72	8.14	14.03	13629	16.75	5.97	1.72
CTBP1	9.31	0.56	9.3	5.08	12.3	13629	16.72	5.98	2.42
MTCH1	11.1	0.66	11.11	6.44	13.37	13629	16.71	5.99	2.08
DAZAP2	10.53	0.63	10.52	7.27	12.68	13629	16.61	6.02	1.74
PSARL	9.04	0.54	9.02	6.04	12.29	13629	16.59	6.03	2.03
KIAA0494	8.53	0.51	8.54	6.13	11.34	13629	16.59	6.03	1.85
PPP2R2A	9.12	0.55	9.13	6.03	11.75	13629	16.58	6.03	1.95
YLPM1	7.64	0.46	7.61	5.72	9.69	13629	16.57	6.03	1.69
SUMO2	10.36	0.63	10.42	7.89	12.7	13629	16.57	6.04	1.61
BECN1	8.47	0.51	8.5	5.56	11.55	13629	16.55	6.04	2.08
SEC11L1	10.43	0.63	10.47	7.4	12.54	13629	16.54	6.05	1.7
HNRPA2B1	11.01	0.67	11.07	7.15	13.56	13629	16.54	6.05	1.9
NCOR1	7.55	0.46	7.54	5.36	9.77	13629	16.53	6.05	1.82
HINT1	11.16	0.68	11.23	5.29	13.01	13629	16.48	6.07	2.46
TNRC15	7.83	0.48	7.86	5.05	9.65	13629	16.47	6.07	1.91
GABARAP	11.2	0.68	11.31	6.97	13.02	13629	16.46	6.07	1.87
C20orf24	10.83	0.66	10.84	7.82	13.26	13629	16.43	6.08	1.69
UBE3B	7.07	0.43	7.1	4.57	9.37	13629	16.43	6.09	2.05
TSG101	9.37	0.57	9.39	2.66	13.1	13629	16.41	6.1	4.94
FLJ13855	9.33	0.57	9.34	5.31	12.6	13629	16.4	6.1	2.37
YTHDF1	9.53	0.58	9.47	6.36	13.02	13629	16.38	6.1	2.05
TAX1BP1	9.88	0.6	9.93	6.59	11.92	13629	16.37	6.11	1.81
BAT3	9.76	0.6	9.76	5.55	12.58	13629	16.37	6.11	2.27
WDR45L	9.61	0.59	9.59	6.38	12.8	13629	16.36	6.11	2.01
YWHAB	10.55	0.65	10.61	7.85	12.92	13629	16.35	6.12	1.65
ATP5B	11.48	0.7	11.47	7.97	13.82	13629	16.35	6.12	1.73
UBE2N	9.25	0.57	9.25	6.43	11.87	13629	16.35	6.12	1.85
ARPC2	10.7	0.66	10.69	8.13	13.34	13629	16.31	6.13	1.64
SOD1	11.43	0.7	11.5	6.76	14.03	13629	16.31	6.13	2.07
EIF4B	10.48	0.64	10.48	7.63	12.76	13629	16.29	6.14	1.67
UBE2L3	8.83	0.54	8.88	6	11.97	13629	16.28	6.14	2
TMEM113	9.83	0.6	9.83	6.27	13.4	13629	16.27	6.14	2.14
MORF4L2	11.52	0.71	11.64	7.7	13.73	13629	16.27	6.15	1.78
PPP1R11	9.65	0.59	9.7	4.77	12.07	13629	16.24	6.16	2.53
RBBP7	10.25	0.63	10.21	5.35	13.07	13629	16.22	6.17	2.44
UTP14C	7.88	0.49	7.92	4.32	10.45	13629	16.21	6.17	2.42
PSMA6	10.92	0.67	10.95	7.36	13.66	13629	16.2	6.17	1.86
DDX42	8.94	0.55	8.92	5.78	11.46	13629	16.19	6.18	1.98
PRPSAP1	8.74	0.54	8.72	5.74	12.1	13629	16.16	6.19	2.11
MAEA	9.02	0.56	9.06	3.45	11.79	13629	16.16	6.19	3.42
HNRPDL	9.71	0.6	9.64	7.09	12.03	13629	16.13	6.2	1.7
RNPS1	9.53	0.59	9.52	5.68	12.17	13629	16.12	6.2	2.14
COPS6	8.85	0.55	8.85	6.8	11.21	13629	16.12	6.21	1.65
ADD1	8.67	0.54	8.66	6.61	11.59	13629	16.11	6.21	1.75
DNAJA1	10.06	0.62	10.07	7.19	12.79	13629	16.11	6.21	1.78
HDCMA18P	7.38	0.46	7.37	5.35	9.64	13629	16.08	6.22	1.8
RPL34	12.57	0.78	12.78	6.24	13.9	13629	16.06	6.23	2.23
IARS2	8.89	0.55	8.92	4.15	11.44	13629	16.05	6.23	2.76
EP400	7.33	0.46	7.32	3.41	9.3	13629	16.05	6.23	2.73
COPZ1	9.22	0.57	9.25	4.62	12.09	13629	16.04	6.23	2.62
NOL9	8.36	0.52	8.33	6.08	11.7	13629	16.02	6.24	1.92
EIF3S2	9.89	0.62	9.92	7.08	11.94	13629	16.01	6.25	1.69
RPS5	12.02	0.75	12.19	5.42	13.82	13629	16	6.25	2.55
HNRPR	9.91	0.62	9.93	6.96	12.08	13629	15.99	6.25	1.74
CS	10.18	0.64	10.14	5.37	12.72	13629	15.98	6.26	2.37
FLJ20259	8.33	0.52	8.3	4.28	11.68	13629	15.97	6.26	2.73
NDUFC2	10.73	0.67	10.8	6.89	13.61	13629	15.95	6.27	1.98
NSFL1C	8.11	0.51	8.11	5.52	10.87	13629	15.95	6.27	1.97
PDCD6IP	9.74	0.61	9.81	5.57	11.66	13629	15.94	6.27	2.09
TUBA6	12.44	0.78	12.57	5.5	14.03	13629	15.93	6.28	2.55
RAB11A	9.52	0.6	9.53	6.32	11.95	13629	15.92	6.28	1.89
RPL35	12.05	0.76	12.27	6.3	14.03	13629	15.86	6.3	2.23
VCP	9.19	0.58	9.16	5.85	12.12	13629	15.84	6.31	2.07
MFAP1	8.77	0.55	8.82	4.59	10.64	13629	15.84	6.31	2.32
UFC1	10.12	0.64	10.1	4.91	12.82	13629	15.84	6.31	2.61
RPS11	11.87	0.75	12.1	7.01	14.03	13629	15.8	6.33	2
DDB1	9.58	0.61	9.64	6.18	11.92	13629	15.79	6.33	1.93
PSMD2	9.86	0.63	9.83	6.21	12.65	13629	15.77	6.34	2.04
ARF1	10.5	0.67	10.59	5.85	12.79	13629	15.77	6.34	2.18
SERF2	10.24	0.65	10.31	5.57	12.3	13629	15.77	6.34	2.21
SPCS1	10.71	0.68	10.66	6.69	13.51	13629	15.76	6.34	2.02
COX4I1	10.64	0.68	10.74	7.42	12.42	13629	15.76	6.35	1.68
KIAA0676	8.59	0.55	8.61	6.12	10.87	13629	15.74	6.35	1.78
H3F3B	11.4	0.72	11.41	7.92	13.66	13629	15.73	6.36	1.72
USP14	9.28	0.59	9.31	5.93	12.01	13629	15.72	6.36	2.03
ETF1	9.13	0.58	9.13	5.59	11.96	13629	15.72	6.36	2.14
CTCF	8.78	0.56	8.8	4.19	11.07	13629	15.68	6.38	2.64
CSNK2B	10.29	0.66	10.31	2.87	12.71	13629	15.68	6.38	4.43
ZNF24	8.16	0.52	8.17	5.54	10.94	13629	15.67	6.38	1.98
RTF1	7.91	0.51	7.93	4.72	9.72	13629	15.66	6.39	2.06
METAP1	8.67	0.55	8.69	5.18	10.45	13629	15.66	6.39	2.02
CANX	10.54	0.67	10.6	7.88	12.79	13629	15.65	6.39	1.62
QARS	10.4	0.66	10.43	7.34	12.67	13629	15.64	6.39	1.73
TNPO3	7.97	0.51	7.96	5.04	10.47	13629	15.63	6.4	2.08
TXN2	8.27	0.53	8.26	4.76	10.49	13629	15.62	6.4	2.2
CNOT7	9.62	0.62	9.66	3.69	13.37	13629	15.6	6.41	3.62
C20orf4	8.15	0.52	8.18	3.85	10.18	13629	15.58	6.42	2.65
TARDBP	8.88	0.57	8.88	6.25	11.45	13629	15.57	6.42	1.83
ATP5O	10.15	0.65	10.18	6.7	12.16	13629	15.54	6.43	1.82
DHX15	10.17	0.65	10.22	6.61	12.41	13629	15.54	6.43	1.88
ACTR10	9.6	0.62	9.65	3.54	12.04	13629	15.54	6.44	3.41
DUSP11	8.32	0.54	8.36	4.39	10.42	13629	15.53	6.44	2.37
DHX16	8.13	0.52	8.16	4.64	10.4	13629	15.53	6.44	2.24
GTF3C2	8.42	0.54	8.43	5.4	10.89	13629	15.52	6.44	2.02
EIF3S7	10.44	0.67	10.49	6.52	13.73	13629	15.51	6.45	2.11
VPS26A	9.85	0.64	9.91	5.68	12.2	13629	15.5	6.45	2.15
ZNF313	8.71	0.56	8.68	5.7	11.89	13629	15.49	6.45	2.09
IMMT	9.23	0.6	9.22	6.12	11.43	13629	15.49	6.46	1.87
SARS	9.67	0.62	9.67	5.42	12.23	13629	15.48	6.46	2.26
NONO	10.34	0.67	10.34	7.44	12.31	13629	15.48	6.46	1.66
UQCRFS1	10.95	0.71	10.92	5.62	13.82	13629	15.48	6.46	2.46
SUMO3	9.54	0.62	9.52	6.8	12.03	13629	15.47	6.46	1.77
CSDE1	10.41	0.67	10.35	5.61	13.43	13629	15.46	6.47	2.39
RBM23	8.81	0.57	8.84	3.09	11.14	13629	15.45	6.47	3.61
COX6B1	10.63	0.69	10.66	4.19	13.04	13629	15.44	6.48	3.11
C20orf43	8.87	0.57	8.88	6.8	12.15	13629	15.44	6.48	1.79
TMSB10	12.63	0.82	12.8	7.32	14.03	13629	15.43	6.48	1.92
ERH	10.96	0.71	11.03	7.35	13.9	13629	15.43	6.48	1.89
PRDM4	7.51	0.49	7.46	5.11	10.71	13629	15.43	6.48	2.1
TOMM70A	8.94	0.58	8.97	5.06	11.87	13629	15.42	6.48	2.35
MRPL49	9.44	0.61	9.45	5.16	12.05	13629	15.41	6.49	2.33
PREI3	8.67	0.56	8.71	4.73	11.48	13629	15.4	6.49	2.43
PPP6C	9.15	0.59	9.17	5.73	11.99	13629	15.4	6.49	2.09
EIF2B1	8.69	0.56	8.72	2.93	12.15	13629	15.39	6.5	4.15
TINP1	10.46	0.68	10.49	7.19	13.1	13629	15.38	6.5	1.82
C11orf10	10.99	0.71	11.04	5.07	13.9	13629	15.37	6.51	2.74
GNB1	10.02	0.65	10.05	6.19	12.92	13629	15.34	6.52	2.09
RY1	8.49	0.55	8.47	4.2	10.68	13629	15.33	6.52	2.54
GOLGA7	9.61	0.63	9.62	6.02	12.62	13629	15.32	6.53	2.09
RPL36AL	10.81	0.71	10.91	6.64	14.03	13629	15.32	6.53	2.11
DRG1	9.56	0.62	9.55	5.93	12.76	13629	15.31	6.53	2.15
SF3A1	8.63	0.56	8.56	5.44	10.72	13629	15.31	6.53	1.97
SAP130	7.74	0.51	7.73	2.98	10.85	13629	15.31	6.53	3.64
PSMB1	10.12	0.66	10.22	6.77	11.99	13629	15.29	6.54	1.77
RPL29	11.63	0.76	11.82	5.49	13.14	13629	15.28	6.55	2.39
VPS4A	8.47	0.55	8.44	4.02	11.45	13629	15.28	6.55	2.85
SRP46	8.6	0.56	8.6	5.43	11.72	13629	15.27	6.55	2.16
RPL14	11.05	0.72	11.14	8.6	13.28	13629	15.26	6.55	1.54
MARK3	7.57	0.5	7.54	5.21	10.19	13629	15.23	6.57	1.96
GNG5	10.74	0.71	10.85	5.84	13.37	13629	15.22	6.57	2.29
RPL41	13.57	0.89	13.66	0.93	14.03	13629	15.2	6.58	15.15
TRIP12	9.3	0.61	9.36	3.75	12.47	13629	15.2	6.58	3.32
PSMB7	10.1	0.66	10.11	5.08	12.75	13629	15.2	6.58	2.51
RPS26	11.55	0.76	11.68	7.33	13.61	13629	15.2	6.58	1.86
NDUFS5	11.1	0.73	11.19	5.94	13.9	13629	15.19	6.58	2.34
CAPZB	9.24	0.61	9.25	7.06	11.31	13629	15.19	6.58	1.6
RPS28	11.59	0.76	11.79	6.33	13.56	13629	15.18	6.59	2.14
IGBP1	8.85	0.58	8.84	5.09	11.44	13629	15.16	6.59	2.25
MGC2747	7.99	0.53	7.97	5.38	10.7	13629	15.16	6.6	1.99
DCTN3	9.45	0.62	9.49	5.5	12.54	13629	15.15	6.6	2.28
COX7C	10.88	0.72	10.97	5.7	12.57	13629	15.15	6.6	2.21
FLJ11021	9.04	0.6	9	6.25	12.36	13629	15.14	6.6	1.98
NDUFB11	9.74	0.64	9.73	5.86	12.67	13629	15.14	6.6	2.16
PRDX6	10.37	0.69	10.4	6.93	13.37	13629	15.14	6.6	1.93
DEDD	7.33	0.48	7.3	5.26	10.01	13629	15.14	6.6	1.9
DREV1	9.93	0.66	9.92	3.98	12.92	13629	15.12	6.61	3.24
EIF3S8	10.89	0.72	10.92	7.31	13.37	13629	15.12	6.61	1.83
PIK4CB	8.21	0.54	8.24	5.87	10.35	13629	15.1	6.62	1.77
ANKHD1	8.21	0.54	8.23	4.92	10.34	13629	15.09	6.63	2.1
SDHC	8.91	0.59	8.97	6.38	11.54	13629	15.09	6.63	1.81
HNRPC	9.78	0.65	9.84	6.83	11.62	13629	15.09	6.63	1.7
BTF3	10.9	0.72	11.07	6.19	12.67	13629	15.09	6.63	2.05
RCP9	7.01	0.46	7.02	5.07	9.25	13629	15.08	6.63	1.83
COG2	8.24	0.55	8.23	2.41	10.17	13629	15.07	6.63	4.22
C14orf2	10.39	0.69	10.41	6.8	12.24	13629	15.07	6.64	1.8
RPL27A	11.91	0.79	12.17	7.77	13.82	13629	15.07	6.64	1.78
EIF5	9.31	0.62	9.32	6.3	11.63	13629	15.07	6.64	1.85
NAP1L1	10.4	0.69	10.4	5.92	12.37	13629	15.07	6.64	2.09
PABPC1	12.32	0.82	12.53	7.83	14.03	13629	15.06	6.64	1.79
SEC31L1	9.3	0.62	9.32	4.56	11.57	13629	15.06	6.64	2.54
PPIA	12.23	0.81	12.47	7.93	13.9	13629	15.04	6.65	1.75
NCOA4	10.96	0.73	10.94	7.56	13.4	13629	15.03	6.65	1.77
PFDN5	10.93	0.73	11.02	5.1	13.26	13629	15.03	6.65	2.6
FBXL12	8.48	0.56	8.51	4.73	11.21	13629	15.02	6.66	2.37
EDF1	9.66	0.64	9.69	5.9	12.54	13629	15.02	6.66	2.13
DDX24	8.98	0.6	8.95	5.84	11.95	13629	15.01	6.66	2.05
